name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Ransom Place,"801 Indiana Ave, Indianapolis, IN 46202, United States",4.5,11,"park, point_of_interest, establishment",park,39.77844599999999,-86.1701901,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/167
Edna Balz Lacy Family Park,"700 Greer St, Indianapolis, IN 46203, United States",4.4,87,"park, tourist_attraction, point_of_interest, establishment",park,39.7570636,-86.1484061,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/143
Presidential Place Park,"301 E Washington St, Indianapolis, IN 46204, United States",4.4,33,"park, tourist_attraction, point_of_interest, establishment",park,39.766859,-86.15202380000001,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/72
Ensign Graham Edward Martin Park,"W 16th St & Fall Creek Pkwy E Dr, Indianapolis, IN 46202, United States",4.2,191,"park, point_of_interest, establishment",park,39.78712,-86.17305329999999,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/112
Babe Denny Park,"900 Meikel St, Indianapolis, IN 46225, United States",4.2,50,"park, tourist_attraction, point_of_interest, establishment",park,39.7554746,-86.1646829,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/37
McCarty Triangle Park,"1100 W McCarty St, Indianapolis, IN 46225, United States",4.0,45,"park, point_of_interest, establishment",park,39.7564961,-86.1799101,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://funfinder.indy.gov/#/details/50
Urban Wilderness Trail,"1515 W New York St, Indianapolis, IN 46222, United States",5.0,2,"park, point_of_interest, establishment",state park,39.77073170000001,-86.18088929999999,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.facebook.com/NeshobaHata/
Waterfront Pavilion,"White River Trail, Indianapolis, IN 46222, United States",4.8,29,"park, tourist_attraction, point_of_interest, establishment",state park,39.766511,-86.175344,,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/portfolio-items/waterfront-pavilion/
White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.7,4460,"tourist_attraction, park, point_of_interest, establishment",state park,39.7665464,-86.17078579999999,,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
Military Park,"601 W New York St, Indianapolis, IN 46202, United States",4.6,1591,"tourist_attraction, park, point_of_interest, establishment",state park,39.77059,-86.1687006,,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,5:00 AM - 11:00 PM,https://www.whiteriverstatepark.org/
